Insurer_name,Insure_type,Year_,Policy_type,No_of_policies,No_of_persons_covered,Gross_premium
Acko General Insurance Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
Acko General Insurance Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,0,0,0.00
Acko General Insurance Ltd.,Private,2017-18,Individual Family Floater  ,0,0,0.00
Acko General Insurance Ltd.,Private,2017-18,Individual Other than Family Floater,0,0,0.00
Acko General Insurance Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,0,0,0.00
Acko General Insurance Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1,2640,20251803.20
Acko General Insurance Ltd.,Private,2018-19,Individual Family Floater  ,0,0,0.00
Acko General Insurance Ltd.,Private,2018-19,Individual Other than Family Floater,0,0,0.00
Acko General Insurance Ltd.,Private,2019-20,Government Sponsored Schemes including RSBY,0,0,0.00
Acko General Insurance Ltd.,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,16,1041436,233558856.08
Acko General Insurance Ltd.,Private,2019-20,Individual Family Floater  ,0,0,0.00
Acko General Insurance Ltd.,Private,2019-20,Individual Other than Family Floater,0,0,0.00
Acko General Insurance Ltd.,Private,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
Acko General Insurance Ltd.,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,135,5073399,1008219047.54
Acko General Insurance Ltd.,Private,2020-21,Individual Family Floater  ,418,1229,3216594.89
Acko General Insurance Ltd.,Private,2020-21,Individual Other than Family Floater,378,378,1247213.38
Acko General Insurance Ltd.,Private,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
Acko General Insurance Ltd.,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,313,7492901,3728380083.62
Acko General Insurance Ltd.,Private,2021-22,Individual Family Floater  ,1623,4852,14307026.99
Acko General Insurance Ltd.,Private,2021-22,Individual Other than Family Floater,1358,1358,5223284.71
Aditya Birla Health insurance Co. Ltd.,Standalone,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,169,185163,501311617.00
Aditya Birla Health insurance Co. Ltd.,Standalone,2016-17,Individual Family Floater  ,1301,4040,17966029.46
Aditya Birla Health insurance Co. Ltd.,Standalone,2016-17,Individual Other than Family Floater,952,1033,11508252.97
Aditya Birla Health insurance Co. Ltd.,Standalone,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
Aditya Birla Health insurance Co. Ltd.,Standalone,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1477,587578,1534635905.46
Aditya Birla Health insurance Co. Ltd.,Standalone,2017-18,Individual Family Floater  ,33505,105426,462993026.50
Aditya Birla Health insurance Co. Ltd.,Standalone,2017-18,Individual Other than Family Floater,40632,45934,306140434.90
Aditya Birla Health insurance Co. Ltd.,Standalone,2018-19,Government Sponsored Schemes including RSBY & PMJAY,0,0,0.00
Aditya Birla Health insurance Co. Ltd.,Standalone,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1421,1093258,2251203708.05
Aditya Birla Health insurance Co. Ltd.,Standalone,2018-19,Individual Family Floater  ,93804,296479,1284289344.94
Aditya Birla Health insurance Co. Ltd.,Standalone,2018-19,Individual Other than Family Floater,91019,99096,698818828.01
Aditya Birla Health insurance Co. Ltd.,Standalone,2019-20,Government Sponsored Schemes including RSBY,0,0,0.00
Aditya Birla Health insurance Co. Ltd.,Standalone,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,919,4473918,4059464878.41
Aditya Birla Health insurance Co. Ltd.,Standalone,2019-20,Individual Family Floater  ,159271,500605,2217944922.38
Aditya Birla Health insurance Co. Ltd.,Standalone,2019-20,Individual Other than Family Floater,149735,165201,1277622092.77
Aditya Birla Health insurance Co. Ltd.,Standalone,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
Aditya Birla Health insurance Co. Ltd.,Standalone,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1266,11299193,6068701522.79
Aditya Birla Health insurance Co. Ltd.,Standalone,2020-21,Individual Family Floater  ,266947,833571,3377560254.87
Aditya Birla Health insurance Co. Ltd.,Standalone,2020-21,Individual Other than Family Floater,294427,330191,2212158448.84
Aditya Birla Health insurance Co. Ltd.,Standalone,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
Aditya Birla Health insurance Co. Ltd.,Standalone,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,2196,18444211,8835598120.64
Aditya Birla Health insurance Co. Ltd.,Standalone,2021-22,Individual Family Floater  ,524817,1649730,4133097297.84
Aditya Birla Health insurance Co. Ltd.,Standalone,2021-22,Individual Other than Family Floater,510204,564993,2667361475.95
Bajaj Allianz General Insurance Co. Ltd.,Private,2013-14,Family/Floater Insurance excluding Individual Policies,395077,1101043,2425822186.40
Bajaj Allianz General Insurance Co. Ltd.,Private,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,1836,1120921,4036158056.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2013-14,Individual Insurance excluding Family /Floater Policies,12791,18474,135566489.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2014-15,Family/Floater Insurance excluding Individual Policies,238117,464880,1692105487.40
Bajaj Allianz General Insurance Co. Ltd.,Private,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,2056,704728,3321271314.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2014-15,Individual Insurance excluding Family/ Floater Policies,168693,471542,1287281962.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,2211,1210000,3688200000.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2015-16,Individual Family Floater  ,170740,500000,1497800000.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2015-16,Individual Other than Family Floater,262597,457000,2076500000.00
